type,id,mac,rssi,rate,noise_floor,fft_gain,agc_gain,channel,local_timestamp,sig_len,rx_state,len,first_word,data
CSI_DATA,25447,98:4a:6b:31:4a:10,-57,11,-99,-47,56,11,256401365,83,0,256,0,"[0,0,0,0,0,0,0,0,3,-9,5,-8,6,-6,8,-5,10,-3,11,-1,11,1,10,4,10,6,8,8,6,10,5,11,2,11,0,12,-2,12,-4,11,-7,11,-9,9,-11,7,-12,5,-13,3,-14,1,-14,-1,-14,-4,-13,-6,-12,-9,-10,-11,-7,-13,0,0,-1,-15,1,-15,3,-13,6,-12,8,-10,10,-9,10,-6,11,-5,11,-2,11,0,11,1,10,3,10,5,8,6,6,8,5,8,3,10,1,10,-1,10,-2,8,-4,8,-6,6,-8,5,-9,3,-8,0,-8,0,-8,-1,-7,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,6,-5,1,-8,-2,-8,-6,-6,-10,-2,-9,3,-6,8,-1,10,4,10,9,6,11,0,10,-5,5,-10,-1,-11,-7,-9,-11,-3,-11,3,-8,10,-1,13,5,12,11,6,13,0,11,-8,5,-13,-3,-14,-10,-10,-15,-2,0,0,-8,12,0,14,7,11,12,5,12,-2,9,-8,2,-11,-3,-10,-9,-6,-10,0,-8,6,-3,9,2,8,6,6,8,0,7,-5,4,-7,0,-7,-5,-5,-8,-1,-7,2,-5,6,0,5,3,6,5,2,6,0,4,-3,1,-5,0,0,0,0,0,0]"
CSI_DATA,25448,98:4a:6b:31:4a:10,-57,11,-99,-49,57,11,256411627,83,0,256,0,"[0,0,0,0,0,0,0,0,-5,-7,-4,-8,-2,-9,0,-10,1,-10,4,-10,5,-9,8,-8,8,-7,10,-5,11,-4,12,-2,12,0,12,1,11,3,11,5,10,7,8,9,8,11,6,12,4,13,2,14,0,14,-2,14,-4,14,-7,13,-8,13,-10,11,0,0,-14,6,-13,3,-14,1,-13,0,-13,-2,-11,-4,-11,-5,-10,-7,-8,-8,-7,-8,-5,-10,-4,-10,-2,-10,0,-10,0,-10,2,-10,4,-9,5,-8,7,-7,8,-6,9,-4,9,-2,9,-1,8,1,8,2,7,4,6,5,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-7,-2,-8,-6,-5,-8,-1,-8,2,-6,8,0,9,4,8,10,4,10,-1,8,-6,2,-10,-3,-10,-8,-6,-11,0,-9,6,-4,10,3,11,9,7,12,1,11,-7,5,-12,-2,-13,-9,-10,-13,-1,-12,6,-6,12,1,14,0,0,14,3,11,-4,7,-11,0,-12,-7,-10,-11,-3,-10,2,-5,9,0,10,5,7,9,2,9,-3,5,-8,0,-8,-5,-7,-8,-2,-7,2,-4,6,0,7,4,5,6,2,7,-1,4,-5,1,-6,-2,-5,-5,-2,-5,1,-4,3,0,0,0,0,0,0]"
CSI_DATA,25449,98:4a:6b:31:4a:10,-57,11,-99,-51,56,11,256421867,83,0,256,0,"[0,0,0,0,0,0,0,0,-2,9,-4,9,-6,7,-8,6,-10,4,-11,2,-12,0,-11,-2,-10,-4,-9,-7,-8,-9,-7,-10,-4,-12,-2,-12,0,-13,2,-13,4,-12,7,-12,8,-10,10,-9,12,-7,14,-5,14,-2,15,0,15,2,14,5,14,8,12,10,0,0,7,14,4,14,2,15,0,14,-2,14,-4,12,-6,11,-8,9,-9,7,-10,5,-11,3,-11,2,-11,0,-11,-1,-9,-3,-9,-5,-8,-7,-6,-7,-4,-9,-2,-9,0,-9,1,-10,2,-9,4,-8,5,-6,7,-4,7,-3,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,2,-5,5,-1,8,2,9,7,5,9,0,8,-4,5,-8,0,-10,-5,-9,-9,-4,-11,1,-8,7,-2,11,3,10,9,7,12,0,10,-6,5,-12,-2,-12,-8,-9,-12,-2,-12,4,-7,11,0,14,7,12,13,5,14,-2,0,0,3,-14,-5,-12,-11,-7,-13,0,-9,7,-4,11,2,11,8,7,10,0,9,-4,4,-9,-1,-9,-6,-6,-8,-1,-7,4,-4,7,0,7,4,6,7,2,7,-2,4,-6,0,-7,-3,-5,-5,-3,-6,0,-4,3,-1,4,1,5,0,0,0,0,0,0]"
CSI_DATA,25450,98:4a:6b:31:4a:10,-57,11,-99,-49,57,11,256434125,83,0,256,0,"[0,0,0,0,0,0,0,0,0,-9,1,-9,3,-9,5,-8,7,-7,8,-6,10,-4,11,-2,11,-1,11,0,11,2,11,4,10,6,10,7,8,9,6,10,5,11,3,13,1,13,0,13,-2,13,-4,13,-6,13,-8,11,-10,11,-12,8,-14,7,-14,5,0,0,-15,0,-14,-2,-13,-4,-13,-5,-11,-7,-10,-8,-8,-9,-6,-10,-5,-10,-3,-11,-1,-11,0,-11,1,-11,2,-10,4,-10,5,-8,7,-7,7,-6,8,-4,9,-3,10,-1,10,0,9,2,8,3,7,4,6,5,4,7,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-4,2,-7,-1,-8,-5,-5,-8,-1,-8,3,-5,7,0,10,5,8,8,4,10,-1,8,-7,2,-10,-4,-10,-10,-5,-11,1,-8,7,-2,11,4,11,10,6,12,0,10,-8,3,-12,-4,-13,-11,-8,-14,0,-11,8,-4,13,0,0,10,9,13,0,11,-7,4,-11,-2,-11,-8,-7,-11,0,-8,5,-4,9,2,9,7,5,8,0,7,-5,2,-8,-2,-7,-6,-4,-8,0,-5,4,-2,7,2,6,5,4,7,0,5,-3,2,-5,-1,-5,-4,-3,-5,0,-4,2,0,0,0,0,0,0]"
CSI_DATA,25451,98:4a:6b:31:4a:10,-57,11,-99,-50,57,11,256442673,83,0,256,0,"[0,0,0,0,0,0,0,0,-9,3,-9,1,-9,0,-9,-3,-9,-4,-8,-6,-7,-8,-5,-9,-3,-11,-1,-11,0,-12,3,-12,4,-11,7,-11,8,-9,10,-7,11,-6,13,-4,13,-1,14,0,14,2,13,4,12,6,11,9,10,11,8,12,6,14,3,15,0,0,-2,15,-4,14,-6,12,-8,11,-9,9,-10,7,-11,6,-11,4,-12,1,-11,0,-11,-1,-10,-3,-9,-4,-8,-6,-7,-7,-6,-9,-4,-9,-2,-9,0,-10,1,-10,3,-9,4,-8,6,-7,7,-5,8,-4,8,-1,8,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,-4,-7,0,-7,4,-4,7,0,9,5,7,9,4,10,-1,7,-6,3,-10,-3,-10,-8,-7,-11,0,-9,6,-4,10,1,11,7,9,12,2,11,-4,6,-11,0,-12,-7,-11,-12,-4,-13,3,-8,11,-1,14,7,12,13,6,0,0,10,-9,3,-13,-5,-12,-11,-6,-12,0,-9,7,-3,11,3,11,8,6,10,0,7,-6,3,-8,-3,-8,-6,-5,-8,0,-7,4,-3,7,2,7,6,4,7,0,6,-3,3,-6,0,-6,-4,-5,-5,-1,-6,1,-3,4,0,5,0,0,0,0,0,0]"
CSI_DATA,25452,98:4a:6b:31:4a:10,-57,11,-99,-46,57,11,256454732,83,0,256,0,"[0,0,0,0,0,0,0,0,8,-3,8,-2,9,-1,9,0,10,2,9,3,9,5,7,6,7,9,6,10,4,10,2,12,1,12,-1,12,-2,12,-4,11,-6,10,-7,9,-9,9,-10,8,-12,6,-12,4,-13,2,-13,0,-14,-1,-13,-2,-14,-5,-12,-7,0,0,-10,-9,-9,-10,-7,-10,-5,-12,-2,-12,-1,-12,0,-12,1,-11,2,-10,4,-9,4,-9,6,-8,7,-7,8,-6,9,-4,9,-4,9,-2,9,-1,9,1,8,3,8,4,8,6,6,7,4,7,4,7,2,7,1,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,8,-1,6,-4,2,-7,-2,-8,-7,-4,-9,0,-8,5,-5,9,0,10,6,7,10,2,10,-4,6,-9,-1,-12,-7,-8,-12,-2,-12,4,-7,10,1,12,8,9,12,2,12,-4,6,-10,-1,-13,-9,-10,-13,-2,-13,6,0,0,1,13,9,9,13,1,12,-5,5,-11,-1,-12,-7,-8,-10,-2,-8,4,-4,8,2,10,7,6,8,0,7,-4,2,-8,-2,-7,-6,-3,-7,0,-6,4,-2,6,2,6,4,3,6,0,5,-3,1,-6,-1,-5,-4,-3,-5,0,0,0,0,0,0,0]"
CSI_DATA,25453,98:4a:6b:31:4a:10,-57,11,-99,-49,57,11,256463676,83,0,256,0,"[0,0,0,0,0,0,0,0,-6,7,-8,5,-8,4,-10,2,-10,0,-11,-1,-10,-4,-10,-5,-8,-7,-7,-9,-5,-10,-4,-11,-2,-11,0,-12,1,-13,3,-13,5,-12,7,-11,9,-10,10,-8,12,-6,13,-4,14,-2,15,0,14,1,15,4,14,6,13,8,0,0,8,12,7,13,4,14,2,13,0,14,-1,13,-3,12,-4,11,-6,10,-7,8,-8,7,-9,5,-10,4,-10,2,-10,1,-10,0,-10,-2,-9,-3,-8,-5,-7,-6,-5,-7,-4,-8,-2,-9,0,-9,0,-8,2,-8,4,-7,5,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,-1,-7,2,-4,7,0,8,4,7,8,4,9,-1,7,-6,2,-10,-2,-10,-8,-6,-10,0,-10,5,-4,10,1,11,8,8,11,1,10,-5,5,-11,-1,-12,-8,-10,-12,-3,-11,4,-7,11,0,13,8,11,13,4,13,-4,0,0,1,-14,-7,-11,-11,-5,-11,2,-7,9,-1,11,5,9,10,4,10,-1,7,-7,1,-9,-4,-7,-8,-2,-8,2,-5,6,-1,8,4,7,7,3,7,-1,4,-5,1,-7,-3,-5,-5,-2,-6,0,-4,4,-1,5,1,5,4,2,0,0,0,0,0,0]"
CSI_DATA,25454,98:4a:6b:31:4a:10,-57,11,-99,-45,56,11,256471780,83,0,256,0,"[0,0,0,0,0,0,0,0,-4,8,-5,8,-7,6,-8,5,-10,3,-11,1,-11,0,-11,-3,-10,-5,-9,-7,-7,-9,-6,-11,-4,-11,-1,-13,0,-13,2,-13,4,-12,7,-11,8,-10,10,-8,12,-7,13,-5,14,-2,15,0,15,2,15,4,14,7,12,10,0,0,7,13,5,14,2,14,0,14,-1,13,-4,13,-5,11,-7,10,-8,8,-10,7,-10,4,-11,3,-11,1,-11,0,-10,-2,-10,-4,-9,-5,-7,-7,-5,-8,-4,-8,-2,-10,0,-10,1,-10,3,-8,4,-7,5,-5,7,-4,8,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,1,-6,5,-2,8,2,8,7,6,10,1,9,-3,6,-8,0,-11,-5,-9,-10,-5,-11,1,-9,7,-3,11,3,11,9,7,12,0,11,-6,5,-11,-2,-13,-8,-9,-13,-2,-12,5,-7,11,0,14,8,12,13,5,14,-3,0,0,2,-14,-5,-13,-11,-7,-13,1,-9,7,-3,11,3,10,8,6,11,0,8,-5,3,-9,-2,-8,-7,-5,-9,-1,-7,4,-3,8,1,7,5,5,8,1,7,-3,4,-6,0,-7,-4,-5,-5,-2,-6,1,-4,4,0,5,2,4,0,0,0,0,0,0]"
CSI_DATA,25455,98:4a:6b:31:4a:10,-57,11,-99,-51,57,11,256481377,83,0,256,0,"[0,0,0,0,0,0,0,0,-3,8,-5,8,-6,8,-8,6,-10,5,-10,3,-11,1,-11,0,-11,-2,-11,-4,-10,-6,-9,-8,-8,-9,-7,-10,-5,-11,-3,-12,-1,-13,0,-13,1,-13,3,-13,5,-13,7,-12,9,-11,11,-10,12,-9,13,-7,15,-5,15,-3,0,0,15,1,14,3,13,5,12,6,10,8,9,10,7,10,5,10,4,11,3,11,1,11,0,11,-1,11,-2,10,-4,10,-5,9,-6,8,-7,6,-8,5,-9,4,-10,2,-10,0,-9,0,-8,-2,-8,-3,-7,-5,-6,-6,-4,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,1,-5,5,-1,8,3,8,7,5,10,0,8,-5,4,-9,-1,-10,-7,-6,-10,-1,-10,5,-5,10,1,11,8,8,11,2,10,-5,5,-10,-1,-12,-8,-8,-13,-2,-11,5,-6,11,1,13,9,10,14,1,13,-6,6,-12,0,0,-9,-10,-13,-1,-11,6,-5,10,1,12,8,8,11,1,9,-5,4,-9,-1,-10,-7,-6,-9,0,-7,5,-2,8,2,8,6,5,8,0,5,-4,1,-6,-2,-6,-6,-3,-6,0,-5,4,-1,6,1,5,5,3,5,0,4,-3,0,0,0,0,0,0]"
CSI_DATA,25456,98:4a:6b:31:4a:10,-57,11,-99,-49,57,11,256492630,83,0,256,0,"[0,0,0,0,0,0,0,0,4,8,2,9,1,10,0,10,-3,9,-5,10,-6,8,-9,8,-10,6,-10,4,-11,2,-11,0,-13,-1,-12,-4,-11,-6,-10,-8,-9,-9,-8,-11,-5,-11,-4,-13,0,-13,1,-13,2,-14,6,-14,7,-13,10,-11,12,-9,13,-8,0,0,15,-3,15,1,14,1,13,2,12,5,11,6,9,8,7,9,5,10,4,11,2,10,0,11,-1,11,-2,10,-4,10,-5,9,-6,8,-8,5,-8,4,-9,4,-10,1,-10,0,-8,-1,-8,-4,-6,-5,-6,-6,-4,-7,-2,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,6,0,8,4,6,8,2,8,-2,7,-7,2,-10,-3,-8,-8,-5,-9,0,-8,5,-4,9,1,11,8,8,11,2,11,-4,5,-9,-1,-11,-8,-8,-13,-2,-12,4,-8,11,-1,13,7,10,12,5,14,-2,10,-10,2,-14,0,0,-12,-7,-14,2,-10,7,-2,11,5,11,10,5,11,-1,8,-7,2,-10,-3,-9,-7,-5,-10,0,-7,6,-1,8,2,7,6,5,8,0,5,-5,2,-7,-1,-6,-5,-4,-6,0,-5,4,-3,5,1,5,2,4,5,1,4,-1,0,0,0,0,0,0]"
